,OWNER_MEANING,SPGRP_NAME,REMCLASSCD_MEANING,SOURCECD_MEANING,PRODCD_MEANING,MCFVOL,RPA_STD_AMOUNT,RPA_STD_AMOUNT_UOM_MEANING,SAWREMVOL,GREEN_TONS
147,National Forest,Other pines,Roundwood product,Nongrowing-stock,Saw logs,3.432179427,20.39305346,Thousand board feet (MBF) - International 1/4-inch rule,,119.2161735
148,National Forest,Other pines,Roundwood product,Nongrowing-stock,Veneer logs,1.759150186,10.40940575,Thousand board feet (MBF) - International 1/4-inch rule,,60.81695311
149,National Forest,Other pines,Roundwood product,Nongrowing-stock,Pulpwood,19.29504213,255.909795,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,690.9564465
150,National Forest,Other pines,Roundwood product,Nongrowing-stock,Composite panel,10.58417279,136.2425173,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,367.8547967
151,National Forest,Other pines,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,38.44730648,499.3156686,Thousand cubic feet (M cu. ft.),,1348.152305
152,National Forest,Other pines,Roundwood product,Nongrowing-stock,Miscellaneous,0.031512244,0.031512244,Thousand cubic feet (M cu. ft.),,1.102928545
153,National Forest,Other pines,Roundwood product,Nongrowing-stock,"Poles, Posts, Pilings",0.461977462,0.461977462,Thousand cubic feet (M cu. ft.),,13.85932385
154,National Forest,Ash,Roundwood product,Sawtimber growing stock,Saw logs,10.87843573,65.70703371,Thousand board feet (MBF) - International 1/4-inch rule,,412.5087576
155,National Forest,Ash,Roundwood product,Sawtimber growing stock,Veneer logs,0.003082764,0.018912661,Thousand board feet (MBF) - International 1/4-inch rule,,0.118733686
156,National Forest,Ash,Roundwood product,Sawtimber growing stock,Pulpwood,8.702810055,120.3452971,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,336.9668319
157,National Forest,Ash,Roundwood product,Sawtimber growing stock,Composite panel,0.086923534,1.134771987,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,3.177361564
158,National Forest,Ash,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,5.13160591,67.96829019,Thousand cubic feet (M cu. ft.),,190.3112125
159,National Forest,Ash,Roundwood product,Sawtimber growing stock,Miscellaneous,1.240741756,1.240741756,Thousand cubic feet (M cu. ft.),,46.52781587
160,National Forest,Ash,Roundwood product,Poletimber growing stock,Saw logs,0.351533164,2.123301737,Thousand board feet (MBF) - International 1/4-inch rule,,13.33008831
161,National Forest,Ash,Roundwood product,Poletimber growing stock,Veneer logs,0.02241906,0.137540242,Thousand board feet (MBF) - International 1/4-inch rule,,0.863477642
